AG Algorithm Results Summary
----------------------------
Parameters: {'nInd': 100, 'maxIter': 60, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 249.7150, R2: -0.7935, Time: 22.81 seconds
Parameters: {'nInd': 120, 'maxIter': 100, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 5, 'crossover_rate': 0.85}, RMSE: 176.9434, R2: 0.0995, Time: 34.93 seconds
Parameters: {'nInd': 120, 'maxIter': 100, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 187.3127, R2: -0.0091, Time: 37.29 seconds
Parameters: {'nInd': 120, 'maxIter': 100, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 322.2828, R2: -1.9873, Time: 41.70 seconds
Parameters: {'nInd': 120, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 5, 'crossover_rate': 0.85}, RMSE: 169.3354, R2: 0.1753, Time: 52.25 seconds
Parameters: {'nInd': 120, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 242.6933, R2: -0.6941, Time: 57.57 seconds
Parameters: {'nInd': 120, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 205.4118, R2: -0.2136, Time: 63.88 seconds
Parameters: {'nInd': 120, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.85}, RMSE: 167.7243, R2: 0.1909, Time: 61.03 seconds
Parameters: {'nInd': 120, 'maxIter': 60, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 194.7217, R2: -0.0905, Time: 21.62 seconds
Parameters: {'nInd': 120, 'maxIter': 60, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 283.6493, R2: -1.3141, Time: 25.05 seconds
Parameters: {'nInd': 120, 'maxIter': 60, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 5, 'crossover_rate': 0.85}, RMSE: 202.1720, R2: -0.1756, Time: 24.37 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 198.1257, R2: -0.1290, Time: 15.50 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 206.3234, R2: -0.2244, Time: 18.00 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 183.0464, R2: 0.0363, Time: 16.46 seconds
